component	version	source	sha256_or_digest
ubuntu_base	22.04	docker.io/library/ubuntu	sha256:0e0a0fc6d18feda9db1590da249ac93e8d5abfea8f4c3c0c849ce512b5ef8982
apt_resolution	jammy-current-at-image-build	Ubuntu-jammy-updates-security	captured-in-image
cmake	3.22.x	Ubuntu-jammy	resolved-in-image
gcc	11	Ubuntu-jammy	apt-major
clang_format	14.x	Ubuntu-jammy	resolved-in-ci-log
htslib	1.18	https://github.com/samtools/htslib/releases/download/1.18/htslib-1.18.tar.bz2	f1ab53a593a2320a1bfadf4ef915dae784006c5b5c922c8a8174d7530a9af18f
jansson	2.13.x	Ubuntu-jammy	resolved-in-image
openssl	3.0.x	Ubuntu-jammy	resolved-in-image
python3-jsonschema	3.2.x	Ubuntu-jammy	resolved-in-image
